suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
craigieburn___central,Craigieburn - Central,Hume (C),-37.59,144.93,8.47,High Heat,128,27.3,221,7.6,396.8
craigieburn___north,Craigieburn - North,Hume (C),-37.58,144.93,8.76,High Heat,113,24.2,263,6.9,1334.88
craigieburn___south,Craigieburn - South,Hume (C),-37.6,144.92,8.79,High Heat,111,28.2,206,7.1,1191.25
craigieburn___west,Craigieburn - West,Hume (C),-37.58,144.91,9.2,High Heat,89,16.9,294,2.6,621.07
cranbourne,Cranbourne,Casey (C),-38.1,145.28,11.67,High Heat,8,35.2,95,10.1,1302.77
cranbourne_east,Cranbourne East,Casey (C),-38.11,145.32,13.84,Extreme Heat,1,29.4,189,3.6,4289.27
cranbourne_north,Cranbourne North,Casey (C),-38.08,145.29,12.41,Extreme Heat,5,34.2,110,7.5,1023.96
cranbourne_south,Cranbourne South,Casey (C),-38.15,145.27,8.83,High Heat,110,48.6,30,12.7,8167.06
cranbourne_west,Cranbourne West,Casey (C),-38.1,145.25,10.38,High Heat,35,32.8,131,4.9,1289.88
croydon___east,Croydon - East,Maroondah (C),-37.8,145.29,7.29,Moderate Heat,193,33.1,124,19.0,809.73
croydon___west,Croydon - West,Maroondah (C),-37.79,145.28,7.1,Moderate Heat,200,34.5,106,19.8,679.73
croydon_hills___warranwood,Croydon Hills - Warranwood,Maroondah (C),-37.77,145.27,6.79,Moderate Heat,212,41.0,49,25.1,949.09
croydon_south,Croydon South,Maroondah (C),-37.82,145.28,6.63,Moderate Heat,217,37.2,75,21.2,285.57
dandenong,Dandenong,Greater Dandenong (C),-37.99,145.21,9.2,High Heat,89,26.6,230,7.3,6182.59
dandenong_north,Dandenong North,Greater Dandenong (C),-37.96,145.21,8.61,High Heat,121,33.8,116,9.2,945.86
deer_park___derrimut,Deer Park - Derrimut,Brimbank (C),-37.77,144.77,11.1,High Heat,17,25.4,245,5.3,2133.22
delahey,Delahey,Brimbank (C),-37.72,144.77,11.41,High Heat,13,25.4,246,5.2,350.51
dingley_village,Dingley Village,Kingston (C) (Vic.),-37.98,145.13,9.77,High Heat,58,38.6,61,13.0,724.37
docklands,Docklands,Melbourne (C),-37.82,144.94,6.06,Moderate Heat,229,12.1,299,5.7,244.38
doncaster,Doncaster,Boroondara (C),-37.79,145.1,9.75,High Heat,59,11.2,302,8.9,6.23
doncaster,Doncaster,Manningham (C),-37.79,145.12,8.53,High Heat,124,27.4,218,13.7,870.55
doncaster,Doncaster,Whitehorse (C),-37.8,145.12,7.51,Moderate Heat,185,54.1,24,40.9,0.44
doncaster_east_(north),Doncaster East (North),Manningham (C),-37.77,145.17,8.49,High Heat,127,36.0,89,17.4,640.18
doncaster_east_(south),Doncaster East (South),Manningham (C),-37.79,145.16,8.73,High Heat,116,26.4,233,13.4,476.76
donvale___park_orchards,Donvale - Park Orchards,Manningham (C),-37.79,145.2,6.46,Moderate Heat,221,44.4,38,27.2,2079.99
doreen,Doreen,Whittlesea (C),-37.6,145.13,10.06,High Heat,45,29.0,197,7.3,1445.94
doveton,Doveton,Casey (C),-37.99,145.24,8.16,High Heat,150,36.3,86,10.5,519.34
dromana,Dromana,Mornington Peninsula (S),-38.33,144.98,4.65,Moderate Heat,240,50.3,28,16.8,4506.82
east_melbourne,East Melbourne,Melbourne (C),-37.81,144.98,7.68,Moderate Heat,177,25.3,249,17.4,289.96
edithvale___aspendale,Edithvale - Aspendale,Kingston (C) (Vic.),-38.03,145.11,7.93,Moderate Heat,160,29.8,184,7.4,510.01
elsternwick,Elsternwick,Glen Eira (C),-37.89,145.01,8.18,High Heat,148,25.9,239,14.4,286.15
eltham,Eltham,Nillumbik (S),-37.71,145.15,7.07,Moderate Heat,201,41.4,47,29.8,1948.53
elwood,Elwood,Port Phillip (C),-37.88,144.99,6.48,Moderate Heat,220,29.2,191,20.0,255.25
emerald___cockatoo,Emerald - Cockatoo,Cardinia (S),-37.95,145.47,4.09,Moderate Heat,247,69.1,4,43.2,24417.31
emerald___cockatoo,Emerald - Cockatoo,Yarra Ranges (S),-37.9,145.45,2.28,Low Heat,252,80.7,2,59.0,298.75
endeavour_hills___north,Endeavour Hills - North,Casey (C),-37.97,145.26,7.85,Moderate Heat,165,45.8,34,13.0,1447.45
endeavour_hills___south,Endeavour Hills - South,Casey (C),-37.98,145.26,8.69,High Heat,118,36.7,85,11.2,558.73
epping___east,Epping - East,Whittlesea (C),-37.64,145.04,9.0,High Heat,100,30.8,163,7.9,776.73
epping___south,Epping - South,Whittlesea (C),-37.65,145.03,9.23,High Heat,86,33.0,126,7.3,1586.86
epping___west,Epping - West,Whittlesea (C),-37.63,145.01,9.53,High Heat,69,27.8,211,5.4,735.59
essendon___aberfeldie,Essendon - Aberfeldie,Moonee Valley (C),-37.75,144.91,9.51,High Heat,70,27.7,213,10.8,844.2
essendon_airport,Essendon Airport,Moonee Valley (C),-37.73,144.9,11.22,High Heat,16,37.1,76,1.4,335.44
fawkner,Fawkner,Moreland (C),-37.71,144.97,9.37,High Heat,79,33.8,116,7.4,508.41
ferntree_gully_(north),Ferntree Gully (North),Knox (C),-37.88,145.28,6.74,Moderate Heat,215,35.6,93,18.5,698.44
